questionid,zone_name,diffrank,catname,question,answer1,answer2,answer3,right,response
245056,General Knowledge,1,Animals,Which type of animal is a tarantula?,Amphibian,Bird,Mammal,Arachnid,The greatest concentration of tarantulas is in South America.
250795,General Knowledge,1,General Science,What is force that resists the separation of two bodies in contact called?,Watt,File Transfer Protocol,Bug,Adhesion,Adhesion refers to a band of scar tissue that binds together two anatomic surfaces which usually are separated from each other.
252208,General Knowledge,3,Animals,"What kind of animal is a ""burbot""?",Monkey,Deer,Llama,Fish,A burbot is a freshwater member of the cod family.
254311,General Knowledge,1,General Science,What element does hydrogen combine with to make the compound water?,Helium,Carbon,Lithium,Oxygen,The chemical formula of water is H2O.
318191,General Knowledge,1,General Science,What is the common name of the chemical compound H2O?,Hydrogen Peroxide,Salt,Mercury,Water,Only about one percent of the Earth's water is drinkable. 
347645,General Knowledge,1,General Science,What is the longest bone in the human body?,Tibia,Ulna,Rib,Femur,Babies are born with more than 300 bones while adults usually have 206 or fewer.
351614,General Knowledge,1,Biology,Which nutrient group is used to help grow and repair cells?,Carbohydrates,Fats,Melanin,Proteins,"Ligaments, tendons, muscles, hair, nails and skin are made of protein, as is half of the non-water mass of your body."
366461,General Knowledge,1,Astronomy,What is the distance that light travels in a year called?,Leap Year,Normal Year,Parsec,Light Year,A light year is used to measure distances between stars. 
366539,General Knowledge,1,Chemistry,What is table salt's chemical name?,Hydrogen Peroxide,Ferrous Oxide,Halite Oxide,Sodium Chloride,The chemical formula for sodium chloride is NaCl and almost three percent of the weight of seawater is salt.
370032,General Knowledge,1,Biology,What is the cell where a virus reproduces called?,Hostile Cell,Hosta Cell,Homely Cell,Host Cell,"When a virus comes in contact with a host cell, the virus takes over and the host cell loses its regular duties."
390212,General Knowledge,1,Chemistry,"Relating to chemistry, what is a catalyst?",Invertor,Stone-Throwing Device,Classification Of Books,Reaction Agent,A catalyst causes the acceleration of a chemical change.
402683,General Knowledge,2,Weather,A gale is a strong what?,Cloudburst,Lunar Eclipse,Thunderstorm,Wind,Gale warnings are issued when winds of 34-47 knots are expected.
402690,General Knowledge,2,Weather,"Red sky in morning, sailors take what?",To Soaring,A Sweater,Two Aspirin Before Bed,Warning,"The term ""Mackerel Sky"" is given to a sky filled with rippled clouds that look like fish scales."
402696,General Knowledge,2,Weather,All atmospheric water that hits the ground is known as what?,Evaporation,Acid Rain,Condensation,Precipitation,"Drizzle, rain, snow and sleet are several of the different forms of precipitation."
402711,General Knowledge,2,Weather,"In weather terms, a ""Chinook"" is characterized by a warm what?",Eruption,Sunny Day,Trend,Wind,"Chinook winds are strong, dry winds found in the American West, where the prairies meet the mountains."
402723,General Knowledge,3,Weather,What September 1928 hurricane damaged Florida?,Katrina,Luke,Donna,Okeechobee,The Okeechobee hurricane in 1928 was the first to reach Category 5 in the Atlantic basin.
402773,General Knowledge,3,Weather,What is the federal weather agency in Canada called?,Canada Weather Service,Northern Lights,Canadian Snow Board,Environment Canada,Environment Canada is responsible for dealing with oil spills in addition to the weather.
402782,General Knowledge,1,Oceans,What ocean contains the Gulf Stream?,Pacific,North,Bering,Atlantic,The Gulf Stream sends warm water to Europe.
33972,General Knowledge,2,Technology,What company did Hyundai borrow technology from to launch its vehicles?,Toyota,Kia,Nissan,Mitsubishi,Hyundai used Mitsubishi-designed power train and suspension components until 1996.
2681,General Knowledge,1,Know The US States?,"Which state in the eastern U.S. is known as the ""Empire State""?",New Jersey,New Mexico,New Hampshire,New York,"Prosperous New York earned the nickname ""The Empire State""."
2694,General Knowledge,1,Know The US States?,In what state would you find the city of Kissimmee?,Arizona,Texas,Washington,Florida,"Kissimmee, Florida is near Disney World."
2727,General Knowledge,2,Know The US States?,Which U.S. state is known as the lightning capital?,New Hampshire,Kansas,Alaska,Florida,"More than one million lightning strikes occur in Florida every year, and usually 50 individuals are struck."
104334,General Knowledge,1,Know The US States?,Which U.S. state was named for William Penn?,South Carolina,Utah,Rhode Island,Pennsylvania,"The name Pennsylvania means ""Penn's Woods""."
201817,General Knowledge,2,U.S. Geography,"Where is ""Bed Stuy"" located?",Bedrock,Compton,Detroit,"Bedford Stuyvesant , NY","Bedford Stuyvesant, NY is in the borough of Brooklyn."
369399,General Knowledge,1,Alaska,What is the capital city of Alaska?,Anchorage,Cordova,Fairbanks,Juneau,Juneau is the only capital city in the U.S. that is accessible only by boat or plane.
35761,General Knowledge,3,U.S. Government - Executive Branch,"Which U.S. President was on the U.S. $100,000 bill?",Franklin Pierce,Harry Truman,Warren G. Harding,Woodrow Wilson,"Woodrow Wilson. Of course, they have been removed from circulation. It was just too hard to get change."
3713,General Knowledge,2,Civil War,"In which Civil War battle did ""Pickett's Charge"" occur?",Bull Run,Battle Of The Wilderness,Siege On Vicksburg,Gettysburg,Pickett's Charge in Gettysburg was a disaster for the South.
43632,General Knowledge,1,U.S. History,Who was the first U.S. President to be born in a hospital?,Dwight Eisenhower,Harry Truman,William McKinley,Jimmy Carter,Jimmy Carter lost his re-election bid for President.
71242,General Knowledge,1,U.S. History,President Harry Truman ordered the atomic bombing of which two Japanese cities?,Osaka And Tokyo,Tokyo And Nagasaki,Tokyo And Hiroshima,Hiroshima And Nagasaki,"A uranium bomb was dropped on Hiroshima in August 1945, followed a few days later by a plutonium bomb dropped on Nagasaki. "
89184,General Knowledge,2,U.S. History,What holiday is officially celebrated on October 12th in the United States?,England's Independence Day,George W. Bush's Birthday,President's Day,Columbus Day,"While Columbus is believed to be of Genoan origin, he sailed to the New World on behalf of Spain."
90173,General Knowledge,1,Politics,What was the name of the Clinton's pet cat?,Buttons,Charlie,Millie,Socks,"Socks was featured in a 1998 book about ""first pets"", written by Hillary Rodham Clinton."
385518,General Knowledge,1,Year By Year Trivia 1900's,"What was the name of Booker T. Washington's autobiography, published in 1901?",Roots,The Souls Of Black Folks,Native Son,Up From Slavery,"Booker T. Washington founded Alabama's Tuskegee Institute, which opened in 1881."
385721,General Knowledge,1,Year By Year Trivia 1900's,Fiorello LaGuardia was elected mayor of what city in 1933? ,Cleveland,Hollywood,Las Vegas,New York,The election of Fiorello LaGuardia as Mayor in 1933 put an end to the New York's corrupt Tammany Hall regime.
2754,General Knowledge,2,World Geography,Which continent is Benin on?,Asia,South America,Europe,Africa,Benin is a small country in Africa west of Nigeria.
36626,General Knowledge,3,World Geography,What is the highest mountain in North America?,Logan,Kennedy,Shasta,Denali,In recent years geographers have renamed Mt. McKinley to Denali to reflect its Eskimo origin.
38476,General Knowledge,1,World Geography,"Which former Soviet Republic was known as the ""Bread Basket of the Empire""?",Kazakhstan,Russia,Belarus,Ukraine,A large area of the Ukraine was contaminated by the disaster at the Chernobyl nuclear power plant.
38801,General Knowledge,3,World Geography,What is the capital of Nigeria?,Lagos,Ibadan,Nairobi,Abuja,Abuja is the administrative capital of Nigeria and Lagos is the commercial center.
38911,General Knowledge,3,World Geography,What is another name for the Helvetian Mountains?,Apennines,Dolomites,Pennines,Alps,The Helvetians derive their name from the Greek reference to this region.
42443,General Knowledge,1,World Geography,"Peru, the third largest country in South America, harbors which capital city?",Asuncion,Trujillo,Arequipa,Lima,"Lima, where the first lima bean was grown."
42630,General Knowledge,2,World Geography,Thimphu is the capital of which country?,Bangladesh,Tajikistan,Nepal,Bhutan,"Thimpu is the capital of the Kingdom of Bhutan, a tiny country in the Himalayas."
47513,General Knowledge,2,World Geography,What is the capital of Eritrea which was once a province of Ethiopia?,Asseb,Keren,Massawa,Asmera,"Since it became independent, Asmera is it's capital."
50911,General Knowledge,2,World Geography,Which capital city is situated on the River Liffey?,Helsinki,Edinburgh,Ottawa,Dublin,"The River Liffey flows through Ireland's capital city, Dublin."
56001,General Knowledge,2,World Geography,Which city is Seattle's sister city in Japan?,Tokyo,Osaka,Orix,Kobe,"Kobe is Sea-town's sister city, and their two soccer clubs play annual charity matches."
66208,General Knowledge,3,World Geography,What two countries share the worlds longest undefended land border?,Mexico & The United States,Peru & Brazil,Chile & Argentina,Canada & The United States,Canada and USA have not taken up arms against one another since 1812 before the confederation of Canada.
71028,General Knowledge,3,World Geography,On which continent are the Atlas Mountains?,Australia,Asia,Europe,Africa,"Located in Northwestern Africa, the Atlas Mountains are isolated mountains."
73191,General Knowledge,2,World Geography,Which South American country extends farthest east?,Guyana,Argentina,Surinam,Brazil,"The most eastern point of South America is Ponta do Seixas, Brazil, in Paraiba."
79311,General Knowledge,2,World Geography,Which country are the Canary Islands part of?,Morocco,France,Portugal,Spain,"Though only about sixty miles off the coast of Morocco, the island's belong to Spain."
82572,General Knowledge,1,World Geography,In which city will you find the Brandenburg Gate?,Nuremburg,Hamburg,Cologne,Berlin,The Brandenburg Gate is located on the Pariser Platz.
83443,General Knowledge,2,World Geography,What is the capital of the Canadian territory Nunavut?,St. Johns,Ottawa,Esquimalt,Iqaluit,Iqaluit is located on the southern tip of Baffin Island.
85188,General Knowledge,2,Australia,In which of Australia's capital cities is the suburb of Airport West?,Sydney,Hobart,Perth,Melbourne,"Airport West is located near Tullamarine Airport in Melbourne, Australia."
85908,General Knowledge,2,World Geography,Which region of Spain is Barcelona in?,Castille,Galicia,Andalusia,Catalonia,Barcelona is home to the culturally proud Catalans.
90870,General Knowledge,1,World Geography,What Cape will you find at the tip of Africa?,Cape Fear,Cape Gris-Nez,Cape Cod,Cape Of Good Hope,The Cape of Good Hope was rounded by Portuguese sailors in 1488 on their quest to find a new trade route to the Indies.
95904,General Knowledge,1,World Geography,Which Asian capital used to be called Peking?,Tokyo,Jakarta,Kuala Lumpur,Beijing,"Tiananmen Square is the largest urban square in the world, and was enlarged in the 1960's to accommodate up to one million people. "
103950,General Knowledge,2,World Geography,On which continent is China located?,North America,South America,Africa,Asia,"China is the fourth largest country in the world, after Russia, Canada, and the United States."
135711,General Knowledge,1,World Geography,Pago Pago is the capital of which country?,Greece,Costa Rica,Bahrain,American Samoa,"Tourism, entertainment, food, and tuna canning are the primary industries in Pago Pago."
180335,General Knowledge,1,World Landmarks,In which city is the Parthenon located?,"Washington, D.C.","Los Angeles, California","London, England","Athens, Greece",The Greek Parthenon was built to honor the goddess Athena and later served as both a church and a mosque.
233029,General Knowledge,2,World Geography,How many miles is it from Cuba to the U.S. mainland?,73,88,12,90,Before Castro there were USA owned Casinos in Cuba.
299970,General Knowledge,3,Tall Buildings,"In what city is the 1,046-foot Chrysler Building located?","Shanghai, China","Detroit, Michigan","Sydney, Australia","New York, New York","Built in 1930, the Chrysler Building in New York ranked 23rd in the world in height in 2006."
376425,General Knowledge,2,World Countries,Tourists often kiss what famous stone in Ireland?,Plymouth Rock,Hope Diamond,Stone Mountain,Blarney Stone,Kissing the Blarney Stone is said to give you the gift of eloquence.
376430,General Knowledge,1,World Countries,What country is bordered by Pakistan to the south and Iran to the west?,Turkey,Brazil,England,Afghanistan,Afghanistan is the source of the best lapis lazuli in the world.
376547,General Knowledge,1,World Countries,Mount Fuji is the highest point in what country?,Australia,Greece,Uganda,Japan,"The nation of Japan is composed of many islands, the largest being Honshu."
376548,General Knowledge,1,World Countries,"Mitsubishi, Sony and Toyota are all companies with roots in what country?",Cuba,Finland,Argentina,Japan,"In 2006, Japan exported more than one-fifth of its goods to the United States."
376839,General Knowledge,1,World Countries,In which country is the Copenhagen Airport located?,Cuba,Portugal,Germany,Denmark,"In Copenhagen there is a statue of Hans Christian Andersen's Little Mermaid, the national symbol of Denmark. "
3331,General Knowledge,1,World History,What was the name of the plane that dropped an atomic bomb on Hiroshima?,Memphis Belle B-17,Spirit Of America B-52,Spirit Of St. Louis B-2,Enola Gay B-29,"Paul Warfield Tibbets, Jr. was the pilot who dropped the bomb from the Enola Gay."
4190,General Knowledge,3,World History,In which year was the Irish Republican Army outlawed?,1966,1974,1905,1936,The IRA was first outlawed in 1936 and has remained outlawed ever since.
9397,General Knowledge,2,World History,What year did the Hindenburg disaster occur?,1944,1958,1905,1937,"The Hindenburg blew up at the U.S. Naval Base in Lakehurst, NJ on May 6, 1937."
54804,General Knowledge,2,World History,What was Josef Stalin's nationality?,Armenian,Russian,Ukrainian,Georgian,"Joseph Stalin was ""Time"" Magazine's Man of the Year in 1939."
58870,General Knowledge,3,World History,Who was the first President of Cameroon after independence?,Paul Biya,John Foncha,Idi Amin,Amadou Ahidjo,The French backed Amadou Ahijo over numerous other contenders seeking to lead Cameroon in 1960.
71131,General Knowledge,2,World History,What was the name of the world's first computer?,Hal 9000,Commodore 64,MS-DOS,ENIAC,ENIAC was the size of a full room and could only do addition.
95751,General Knowledge,2,World History,What was the first operational jet-fighter in history?,North American Sabre,Mig 15,Gloucester Meteor,Me 262,"The Me 262 is also called ""schwalbe"" which is German for ""swallow"" and also means ""diving"" in soccer."
104361,General Knowledge,1,World History,In which century was World War I?,18th,14th,21st,20th,World War I lasted from 1914 to 1918.
281708,General Knowledge,2,World Politics,Alberto Fujimori was the President of which country from 1990 to 2000?,Argentina,Chile,Brazil,Peru,"Fujimori resigned in the face of scandal, initially transmitting his resignation via fax machine from Japan."
350275,General Knowledge,2,World History,What precious gem was found to be plentiful in South Africa in the 1860's?,Ruby,Emerald,Sapphire,Diamond,Cecil Rhodes was the most famous miner during the South African diamond rush in the 1860's.
10668,Sports,2,MLB - New York Yankees,Who managed the 1961 New York Yankees?,Bill Virdon,Dick Howser,Casey Stengel,Ralph Houk,Ralph Houk managed the World Series championship Yankee team 1961.
13125,Sports,1,MLB World Series,How many home runs did Mark McGwire hit in the 1988 World Series?,2,5,0,1,"Mark McGwire had one home run in the 88' World Series and it was his only hit for the series, he batted .059."
13199,Sports,2,MLB World Series,In the 1978 World Series Tommy John pitched for which team?,Chicago White Sox,New York Yankees,"None, He Was Injured",L.A. Dodgers,"In 1978, Tommy John had an ERA of 3.30."
21902,Sports,1,Baseball,In what state did MLB's Kansas City Royals play their first game?,Texas,Minnesota,Maryland,Missouri,Kansas City was one of four cities chosen for an MLB expansion team to begin play in 1969.
260355,Sports,1,MLB - Chicago White Sox,Who averaged .310 to lead the White Sox in batting in 2004?,Shea Hillenbrand,Todd Helton,Alexis Rios,Aaron Rowand,Aaron Rowand went to college at Cal State Fullerton.
274164,Sports,3,MLB - Seattle Mariners,In what year did Lou Piniella become manager of the Seattle Mariners?,1992,1991,1994,1993,"In 2004, Lou Piniella led the Rays to an 11-8 record, their first-ever winning season in Grapefruit League play."
283052,Sports,2,Barry Bonds,What number did left-fielder Barry Bonds wear in the 2003 season?,44,42,24,25,"As a Pittsburgh Pirate, Barry Bonds wore #24, but changed to #25 when he joined the Giants because #24, Willie Mays' number, was retired."
288055,Sports,2,Baseball,What is the distance between bases in Major League Baseball?,113 feet,40 feet,85 feet,90 feet,This distance from the pitcher's mound to the home plate in Major League Baseball is 60 feet and 8 inches.
339047,Sports,3,MLB - San Diego Padres,What major operation did Trevor Hoffman have when he was six years old?,Eye Transplant,Extra Finger Removed,Eye Surgery,Kidney Removal,"Trevor Hoffman was an All-Star player in 1998, 1999, 2000, 2002 and 2006."
339125,Sports,2,MLB - Philadelphia Phillies,"In January 2007, who did the Philadelphia Phillies' Chase Utley marry?",Missy Moon,Jane Sorter,Lee Anne Cooper,Jennifer Cooper,"The day after his January 2007 wedding, Chase Utley signed an $85 million dollar contract with the Philadelphia Phillies."
339209,Sports,2,Jackie Robinson,What award did Jackie Robinson receive posthumously in 1984?,Presidential Medal Of Honor,Congressional Gold Medal,Presidential Citizens Medal,Presidential Medal Of Freedom,Jackie Robinson was awarded the Presidential medal of Freedom in 1984 and the Congressional gold medal in 2003.
339243,Sports,1,MLB - Baltimore Orioles,"In 2006, Miguel Tejada became only the 7th baseball player to do what?",Hit 600 Home Runs,Steal 500 Bases,"Drive in 2,000 Runs","Play 1,000 Consecutive Games","Miguel Tejada ended the 2006 season needing to play ten more consecutive years to tie Cal Ripken, Jr.'s record."
339246,Sports,3,Tom Glavine,Who did Tom Glavine replace on Opening Day 2006 at Shea Stadium?,Jon Adkins,John Maine,Livan Hernandez,Pedro Martinez,Tom Glavine won the Cy Young Award in 1991 and 1998.
339369,Sports,2,Luis Castillo,Luis Castillo had a hitting streak of how many games in 2002?,47,38,43,35,Luis Castillo ended up 21 games short of Joe DiMaggio's iconic hitting streak in 2002.
2420,Sports,3,Basketball,"Which basketball player's name means ""Little Warrior""?",Mahmoud Abdul-Rauf,Dikembe Mutombo,Hakeem Olajuwon,Shaquille Rashaun O'Neal,"Shaquille Rashaun O'Neal took his talent to the big-screen in the film ""Blue Chips"" opposite Nick Nolte, and the movie ""Kazaam""."
27865,Sports,2,NBA - Chicago Bulls,Who was Michael Jordan's first NBA coach?,Phil Jackson,Doug Collins,Tex Winters,Kevin Loughery,Kevin Loughery coached the Bulls from 1983-85.
87695,Sports,2,Wilt Chamberlain,"When Wilt Chamberlain led the NBA in scoring in 1962, what was his average?",30.5,40.7,32.9,50.4,Chamberlain averaged 30.1 points per game and 22.9 rebounds per game in his 14 year career.
98276,Sports,3,NBA - Minnesota Timberwolves,How tall is the NBA's Kevin Garnett?,"7' 1""",7',"6' 8""","6' 11""",Kevin Garnett weighs 220 pounds.
254244,Sports,2,Tim Duncan,How old was Tim Duncan when he first picked up a basketball to play?,3 Years Old,18 Years Old,5 Years Old,14 Years Old,Tim Duncan was born on St. Croix in the U.S. Virgin Islands and played college basketball at Wake Forest.
258326,Sports,2,Peja Stojakovic,Peja Stojakovic was born in what country?,Holland,Germany,Spain,Yugoslavia,Peja Stojakovic won the NBA's Three-point Shootout in 2002 and 2003.
258341,Sports,2,Basketball,Who was the first ever rookie to win the Sixth Man Award?,Tracy McGrady,Kobe Bryant,Allen Iverson,Ben Gordon,Ben Gordon was drafted third overall in the 2004 NBA Draft by the Chicago Bulls.
258455,Sports,2,Basketball,For what NBA team did Jerry Sloan become head coach in 1988?,Chicago Bulls,Detroit Pistons,Seattle SuperSonics,Utah Jazz,"In 2003, Jerry Sloan reached his 900th victory as an NBA coach."
271005,Sports,1,NBA - San Antonio Spurs,International basketball star Manu Ginobili comes from which nation?,Slovenia,Russia,Serbia,Argentina,Ginobili made his first professional debut in the Argentine basketball league.
271019,Sports,1,Basketball,International basketball star Marko Jaric hails from what nation?,Argentina,Brazil,France,Serbia,Marko Jaric was the 30th overall pick in the 2000 NBA Draft.
352539,Sports,2,NBA - Atlanta Hawks,Who led the Atlanta Hawks in field goal percentage in 2006-07?,Joe Johnson,Josh Smith,Tyronn Lue,Josh Childress,"In 2006-07, Atlanta Hawk Josh Childress averaged 13.0 points per game while shooting 50.5% in field goals."
352629,Sports,2,NBA - Atlanta Hawks,How many of the last 35 games of the 2004-05 season did the Atlanta Hawks win?,6,8,10,4,The Atlanta Hawks finished the 2004-05 season with their worst record to date of 13-69.
11117,Sports,1,Boxing,How old was Cassius Clay when he first fought Sonny Liston in Miami Beach?,17,19,21,22,"Cassius Clay was only 22 when he surprised the world by defeating Sonny Liston, even though he was a 7-1 underdog for the match."
12308,Sports,1,Boxing,Which boxer's real name is Arnold Cream?,Joe Louis,Jerry Quarry,Ken Norton,Joe Walcott,Jersey Joe Walcott turned pro in 1930 at the age of 16.
28301,Sports,1,Boxing,"Which heavyweight champion starred in the film ""Mandingo""?",George Foreman,Larry Holmes,Joe Frazier,Ken Norton,"Ken Norton also starred in the 1976 film ""Drum""."
59024,Sports,1,Muhammad Ali,How many times in his career did Muhammad Ali lose a professional boxing match?,4,3,2,5,"Ali lost 5 times to Joe Frazier, Ken Norton, Triver Berbick, Leon Spinks and Larry Holmes."
72063,Sports,2,Muhammad Ali,How many title defenses did Muhammad Ali make?,23,25,16,20,Ali had 20 defenses in his 3 title reign.
74576,Sports,1,Boxing,"Which boxer was nicknamed ""The Acorn""?",Ron Lyle,James Tillis,Lou Bailey,Ernie Shavers,Ernie Shavers was honored by the International Boxing Association as Puncher of the Century.
80863,Sports,2,Boxing,What was Archie Moore's real name?,Arnold Moore,Archie Moore,Archibald Lee Moore,Archibald Lee Wright,"Archie Moore was born in 1913 Archibald Lee Wright, but later changed his last name to Moore."
80865,Sports,2,Boxing,Who was the first man to beat Julio Cesar Chavez?,Meldrick Taylor,Willy Wise,Oscar De La Hoya,Frankie Randall,"Chavez's unbeaten streak ended January 29, 1994 when Frankie Randall won on a split decision."
80904,Sports,2,Boxing,Which boxer went the 10 round distance with Rocky Marciano twice?,Rex Applegate,Roland Lastarza,Don Mogard,Ted Lowry,"Applegate, Lastarza and Mogard went the distance with Marciano, but Lowry did it twice."
83438,Sports,3,Mike Tyson,Who was Mike Tyson's first professional opponent?,Lorenzo Canaday,Nate Tubbs,Jesse Furguson,Hector Mercedes,"Mike Tyson knocked out his first pro opponent, Hector Mercedes in the first round."
84742,Sports,1,Boxing,Which famous fighter was the first to release his own music album?,Sugar Ray Leonard,Felix Trinidad,Floyd Mayweather,Oscar De La Hoya,Oscar De La Hoya was nominated for a Latin Grammy Award.
87469,Sports,2,Mike Tyson,Which fighter was the first to finish a fight with Mike Tyson?,Sammy Scaff,Hector Mercedes,Mitch Green,James Tillis,"The Mike Tyson-James Tillis fight took place in Glen Falls, NY in 1985."
87639,Sports,3,Boxing,Where is the International Boxing Hall of Fame located?,"Las Vegas, NV","London, England","Detroit, MI","Canastota, NY","The idea for a Boxing Hall of Fame came from the town's love of its hometown boys Carmen Basilio, and his nephew Billy Backus."
88104,Sports,2,Mike Tyson,What round was Mike Tyson disqualified in for biting Holyfield's ear?,10th,7th,1st,3rd,Evander Holyfield would later speak with Mike Tyson and say there was no bad blood between the two.
323368,Sports,1,Boxing,"Boxer Arturo Gatti was raised in Canada, but where was he born?",United States,Austria,Greece,Italy,Boxer Arturo Gatti was training for the 1992 Olympics with the Canadian National Team when he decided to go pro.
404132,Sports,2,Alex Arthur,Alex Arthur became a World Champion in boxing 2007 after who vacated the title?,Ricky Burns,Koba Gogladze,Dariusz Snarlski,Joan Guzman,"When Joan Guzman gave up a World Champion boxing title to move up to the lightweight class, Alex Arthur inherited it. "
404134,Sports,1,Alex Arthur,What nationality is former World Boxing Champion Alex Arthur?,British,Irish,American,Scottish,"Boxing champ Alex Arthur was born in Edinburgh, Scotland, where he was also set to fight for the world title in 2008. "
404181,Sports,2,Barry McGuigan,In what year did Barry McGuigan first win the WBA Championship title?,1989,1995,1982,1985,Barry McGuigan's first World Boxing Association win was in 1985 after defeating Eusebio Pedroza.
10030,Sports,2,Florida Gator Football,Who was the first coach to lead the Florida Gators to the SEC Championship?,Ray Graves,Galen Hall,Jimmy Johnson,Steve Spurrier,Football's Steve Spurrier was the first to both win a Heisman and coach a Heisman winner.
76706,Sports,2,College Football,What college is QB Gus Frerotte from?,San Jose St.,California,Oregon State,Tulsa,"Gus Frerotte is an accomplished golfer, having scored a hole-in-one in high school and one in 1997."
10031,Sports,2,NFL - San Francisco 49ers,What number did John Taylor wear as a 49er?,80,81,83,82,John Taylor had 347 receptions for the 49ers in his career.
17885,Sports,2,NFL Super Bowl,Who won Super Bowl XX?,Washington Redskins,Kansas City Chiefs,San Francisco 49ers,Chicago Bears,The Chicago Bears came into existence as the Decatur Staleys in 1920.
58089,Sports,2,Football,What NFL team was the first to have 20 winning seasons in a row?,Miami Dolphins,San Francisco 49ers,Pittsburgh Steelers,Dallas Cowboys,"Super Bowl XXX was witnessed by 138.4 million television viewers, making it at the time the most watched event in television history."
63735,Sports,3,NFL Super Bowl,"Whitney Houston sang the ""National Anthem"" at which Super Bowl?","Super Bowl 24, 1989-90 Season","Super Bowl 23, 1988-89 Season","Super Bowl 20, 1985-86 Season","Super Bowl 25, 1990-91 Season",Houston sang the anthem during the Bills-Giants clash in Super Bowl 25.
64091,Sports,1,NFL - Green Bay Packers,What team did Green Bay acquire Brett Favre from?,Tampa Bay,Denver,Cincinnati,Atlanta,Brett Favre was drafted by the Falcons in '91 and was traded to Green Bay.
79562,Sports,2,NFL Super Bowl,Who coached the San Francisco 49ers in a blowout win in Super Bowl XXIV?,Steve Mariucci,Bill Walsh,Louis Degarrett,George Seifert,George Seifert coached the Niners to a 55-10 victory over Denver in his inaugural season.
88610,Sports,2,NFL - Dallas Cowboys,Who was the first owner of the Dallas Cowboys?,Bud Adams,Tex Schramm,Jerry Jones,Clint Murchison,"Clint Murchison, the Dallas Cowboys' first owner, hired Tom Landry as first head coach in 1960."
191490,Sports,2,NFL - Miami Dolphins,What former Miami Dolphins receiver stood trial for money laundering in 1999?,Oronde Gadsden,Nat Moore,Fred Banks,Tony Martin,Tony Martin totaled 9065 receiving yards during his NFL career despite being drafted as a quarterback.
199821,Sports,2,Pro Football Rules Terms,What is the penalty in the NFL for an illegal substitution?,Ten Yard Penalty,Twenty Yard Penalty,Fifteen Yard Penalty,Five Yard Penalty,"A NFL player may only enter the field during a dead ball, and must leave crossing their own sideline."
199844,Sports,3,Pro Football Rules Terms,How long is the typical halftime in the NFL?,30 Minutes,60 Minutes,20 Minutes,15 Minutes,Paul McCartney was one of the featured performers at the 2006 Super Bowl Halftime show.
199909,Sports,1,NFL - New York Giants,What New York Giant had his #11 uniform retired?,Lawrence Taylor,Spider Lockhart,Frank Gifford,Phil Simms,The New York Giants drafted Phil Simms during the 1st round of the 1979 NFL Draft.
200031,Sports,1,NFL - San Francisco 49ers,When was Joe Montana's first NFL season?,1958,1963,1988,1979,Joe Montana played for the Chiefs after playing for the 49ers.
200133,Sports,1,Football,What school did Russell Maryland play for?,Boston College,Air Force,Nebraska,"Miami, FL",University of Miami's Russell Maryland was the first overall pick by the Cowboys in 1991 and went on to win 3 Super Bowls with them.
231895,Sports,3,NFL Super Bowl,Where was Miami's winning Super Bowl VIII played?,"Miami, FL","Los Angeles, CA","Tampa Bay, FL","Houston, TX",Super Bowl VIII was the Miami Dolphins' third straight appearance in the NFL Championship game.
254230,Sports,2,Football,What NFL team released Jeff Garcia in February 2005?,San Francisco 49ers,Miami Dolphins,New York Jets,Cleveland Browns,NFL Quarterback Jeff Garcia was released from his contract with the Cleveland Browns in February of 2005.
256317,Sports,1,NFL - Cincinnati Bengals,Who was the second Heisman Trophy winner drafted by the Cincinnati Bengals?,Marco Battaglia,T.J. Duckett,Akili Smith,Carson Palmer,"Carson Palmer threw for 18 touchdowns in 2004, his first full season as a starter with the Bengals."
263209,Sports,3,NFL Super Bowl,Which Denver Bronco won the Super Bowl MVP Award in 1998? ,Marcus Nash,Bubby Brister,Terrell Davis,John Elway,"Pro Football Hall of Famer (2004) John Elway, named NFL MVP in 1987 earned the title again in 1998."
264431,Sports,3,NFL - Miami Dolphins,Who coached the Miami Dolphins in the year 2004?,Nick Saban,Dave Winfield,Jimmy Johnson,Jim Bates,Miami Dolphins 2004 coach Jim Bates has been their defensive coordinator for the past 5 seasons.
264521,Sports,3,Football,Who was named NFL Coach of the Year in 2000 and 2002?,Jim Haslett,Bill Cowher,Tom Coughlin,Andy Reid,Andy Reid took the Philadelphia Eagles to Super Bowl XXXIX in 2004.
293279,Sports,3,NFL Super Bowl,How many Super Bowl rings did Steve Young receive with the San Francisco 49ers?,1,2,4,3,Steve Young earned one Super Bowl ring as a starter with the 49ers and two as a backup for Joe Montana.
350731,Sports,2,NFL - Chicago Bears,What is Virginia McCaskey's relationship to Chicago Bears founder George Halas?,Wife,Granddaughter,Daughter-In-Law,Daughter,George Halas' Chicago Bears had only six losing records in 40 seasons.
350917,Sports,1,NFL - Atlanta Falcons,What is the name of the Atlanta Falcons' mascot?,Dirty Bird,Fannie Falcon,Frank Falcon,Freddie Falcon,Rookie Randy Johnson was the primary quarterback for the Atlanta Falcons in their inaugural season.
381746,Sports,2,2007 Football,Who led the NFL in rushing yards in the 2007 regular season?,Adrian Peterson,Willie Parker,Brian Westbrook,LaDainian Tomlinson,LaDainian Tomlinson's first NFL pass was a 21-yard throw to Drew Brees for a touchdown.
